Saldos em Estoque,,,,,,,,,,,,
CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ,SALDO EM ESTOQUE,EMPENHO PARA REQ/PV/RESERVA,ESTOQUE DISPONIVEL,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM
8040101110,RV,RV01,MODULO FOTOVOLTAICO 700WP BIFACIAL HJT RISEN (RSM132-8-700BHDG),UN,10106,12,7,-,7,"3.209,20",-,SOLAR DISAPPROVAL
9120692028,RV,RV01,BATERIA RECARREGAVEL DE ION DE LITIO (BLF51-5R31001),UN,10106,12,1,-,1,"9.855,20",-,SOLAR DISAPPROVAL
9120692066,RV,RV01,INVERSOR ON-GRID LIVOLTEK GT1-3K6D1,UN,10106,12,2,-,2,"3.977,10",-,SOLAR DISAPPROVAL
9121290210,MP,MP03,"ESTRUTURA METALICA PARA TELHADO CERAMICO - PERFIL 2,40",UN,10106,7,500,-,500,"140.990,80",-,LIVOLTEK - VENDAS
9121500637,RV,RV01,INVERSOR ON-GRID LIVOLTEK GT1-10KT1,UN,10106,12,1,-,1,"2.203,56",-,SOLAR DISAPPROVAL
9140274337,RV,RV01,CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ACE | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | RFID,UN,10106,12,2,-,2,"3.108,84",-,SOLAR DISAPPROVAL
9191271060,RV,RV01,KIT TELHADO CERAMICO CCM-10 4 MODULOS STD.,UN,10106,7,218,-,218,"66.635,58",-,LIVOLTEK - VENDAS
9191271061,RV,RV01,KIT TELHADO FIBROCIMENTO FIX MADE 200 MM 4 MODULOS STD,UN,10106,7,"2.185,00",-,"2.185,00","540.612,26",-,LIVOLTEK - VENDAS
9191271062,RV,RV01,KIT TELHADO FIBROMETAL FIX MTL 250 MM 4 MODULOS STD,UN,10106,7,414,-,414,"104.996,69",-,LIVOLTEK - VENDAS
9191271063,RV,RV01,KIT MINI TRILHO BAIXO P-1 PARA 4 MODULOS 300 MM,UN,10106,7,549,4,545,"50.919,37",371,LIVOLTEK - VENDAS
9191271064,RV,RV01,TRIANGULO RETRATO TELESCOPIO 4 MODULOS 15° A 30° LAJE,UN,10106,7,33,-,33,"24.058,13",-,LIVOLTEK - VENDAS
9191271065,RV,RV01,KIT SOLO EASY LINE 4 MODULOS - 1134X2279,UN,10106,7,865,-,865,"497.095,86",-,LIVOLTEK - VENDAS
9192219508,MC,MR02,PLACA DE COBERTURA DA BANDEJA DE FIBRA DE VIDRO (REF.: 4032500550 ),UN,10106,1,43,-,43,"3.945,40",-,ARMAZEM PADRAO
9192219510,MC,MR02,PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 320*280MM,UN,10106,1,5,-,5,"1.717,51",-,ARMAZEM PADRAO
9192219511,MC,MR02,PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 360*280MM,UN,10106,1,5,-,5,"1.417,33",-,ARMAZEM PADRAO
9192219512,MC,MR02,PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 400*280MM,UN,10106,1,5,-,5,"1.519,25",-,ARMAZEM PADRAO
9192219513,MC,MR02,PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 8MM; TAMANHO 480*350MM,UN,10106,1,6,-,6,"3.833,62",-,ARMAZEM PADRAO
9192219514,MC,MR02,PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 320*450MM,UN,10106,1,10,-,10,"3.877,28",-,ARMAZEM PADRAO
9192219515,MC,MR02,PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 360*450MM,UN,10106,1,8,-,8,"3.468,98",-,ARMAZEM PADRAO
9192219516,MC,MR02,PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 400*450MM,UN,10106,1,10,-,10,"4.827,30",-,ARMAZEM PADRAO
9192219517,MC,MR02,PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 280*450MM,UN,10106,1,10,-,10,"3.501,97",-,ARMAZEM PADRAO
9192219832,RV,RV01,KIT TELHADO FIBROCIMENTO P/ MADEIRA METALLIGHT 4 MODULOS STD,UN,10106,7,309,-,309,"89.508,03",-,LIVOLTEK - VENDAS
A0070230E11R11302,RV,RV01,CARREGADOR VEICULAR| LIVOLTEK | CA 7.3KW | ATOM | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | HARDWARE A21 | BO,UN,10106,7,58,-,58,"58.230,84",-,LIVOLTEK - VENDAS
A0070230E1EHR11002,RV,RV01,CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ACE | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | RFID,UN,10106,7,5,-,5,"12.717,57",-,LIVOLTEK - VENDAS
AC1-AIOR11001,RV,RV01,CAIXA DE ALUMINIO FUNDIDO PARA ALOCACAO DE BATERIAS DE LITIO PARA USO EM INVERSORES FOTOVOLTAICOS,UN,10106,7,1,-,1,"557,91",-,LIVOLTEK - VENDAS
BLF-B5150R11001,MP,MP08,BATERIA DE LITIO BLF-B5150 COM PECAS DE CONEXAO,UN,10106,7,"5,00",-,"5,00","23.179,26",-,LIVOLTEK - VENDAS
GF1-3K48L1R11003,RV,RV01,INVERSOR FOTOVOLTAICO MODELO GF1-3K48L1,UN,10106,12,"1,00",-,"1,00","1.687,41",-,SOLAR DISAPPROVAL
GF1-5K48S1R11003,RV,RV01,INVERSOR FOTOVOLTAICO MODELO GF1-5K48S1,UN,10106,8,1,-,1,"3.451,00",-,LIVOLTEK - WARRANTY
GT1-10KT2R11003,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1-10KT2R11003,UN,10106,7,"23,00",-,"23,00","93.741,56",-,LIVOLTEK - VENDAS
GT1-10KT2R11004,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1 -10KT2R11004,UN,10106,4,1,-,1,"3.108,04",-,EXPEDICAO
GT1-10KT2R11004,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1 -10KT2R11004,UN,10106,7,"9,00",-,"9,00","29.857,72",-,LIVOLTEK - VENDAS
GT1-3K3S1,RV,RV01,INVERSOR FOTOVOLTAICO MODELO GT1-3K3S1,UN,10106,12,1,-,1,"1.730,96",-,SOLAR DISAPPROVAL
GT1-5KD1R11001,RV,RV01,INVERSOR ON-GRID LIVOLTEK GT1-5KD1,UN,10106,7,17,-,17,"43.936,04",-,LIVOLTEK - VENDAS
