Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
9120892533;MC;PV01;CABO DE REDE CAT5 COM 4 PARES 24 AWG DE DUPLA CAPA BLINDADO PRETO;MT;010108;28; 176,000 ; -   ; 176,000 ; 834,79 ; -   ;CDS PROJECTS ENERGY
9121260800;MP;MP07;CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM;MT;010108;28; 301,000 ; 120,000 ; 181,000 ; 1.116,95 ; 445,30 ;CDS PROJECTS ENERGY
9121260801;MP;MP07;CABO FLEXIVEL 1KV SIL PT 3 X 4MM;MT;010108;28; 90,000 ; 120,000 ;-30,000 ; 798,69 ; 1.064,92 ;CDS PROJECTS ENERGY
9121280000;MP;MP07;CABO MULTINAX FLEX 2X1,50 MM² HEPR 90 ºC 0,6/1 KV;MT;010108;32; 150,000 ; -   ; 150,000 ; 611,48 ; -   ;PROJETO CELESC
9121280002;MP;MP07;CABO FLEXIVEL 4MM² 1KV VERDE;MT;010108;32; 167,114 ; -   ; 167,114 ; 687,12 ; -   ;PROJETO CELESC
9121290202;MP;MP07;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO;MT;010108;28; 261,000 ; -   ; 261,000 ; 960,48 ; -   ;CDS PROJECTS ENERGY
9121290203;MP;MP07;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO;MT;010108;28; 261,000 ; -   ; 261,000 ; 960,48 ; -   ;CDS PROJECTS ENERGY
9121290222;MP;MP07;CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO;MT;010108;28; 360,000 ; -   ; 360,000 ; 1.705,46 ; -   ;CDS PROJECTS ENERGY
9121500218;RV;RV01;CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO;MT;010108;07; 55.634,000 ; -   ; 55.634,000 ; 191.597,93 ; -   ;LIVOLTEK - VENDAS
9121500219;RV;RV01;CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO;MT;010108;07; 55.634,000 ; -   ; 55.634,000 ; 191.597,93 ; -   ;LIVOLTEK - VENDAS
9121502100;RV;RV01;CABO COBRE NU 50MM²;MT;010108;32; 16,000 ; -   ; 16,000 ; 421,40 ; -   ;PROJETO CELESC
9190772302;MP;MP07;CABO FLEXIVEL DE 1,5 MM²  - COR PRETO;MT;010108;31; 770,000 ; -   ; 770,000 ; 1.247,09 ; -   ;PROJETO COPEL FASE 1
9190772302;MP;MP07;CABO FLEXIVEL DE 1,5 MM²  - COR PRETO;MT;010108;32; 100,000 ; -   ; 100,000 ; 128,80 ; -   ;PROJETO CELESC
9191270416;MC;MR01;CABO DE ALUMINIO MULTIPLEXADO DUPLEX 2X16MM;MT;010108;32; 1.000,000 ; -   ; 1.000,000 ; 4.290,00 ; -   ;PROJETO CELESC
9191270787;MC;MR01;"BORRACHA TIPO ""U"" 8X6X1,5MM";MT;010108;31; 3.200,000 ; -   ; 3.200,000 ; 7.548,16 ; -   ;PROJETO COPEL FASE 1
9191270787;MC;MR01;"BORRACHA TIPO ""U"" 8X6X1,5MM";MT;010108;32; 8.400,000 ; -   ; 8.400,000 ; 17.290,56 ; -   ;PROJETO CELESC
9191271234;MC;PV01;CABO CAT6;MT;010108;32; 100,000 ; -   ; 100,000 ; 406,59 ; -   ;PROJETO CELESC
9192219664;MC;MR01;CABO 10MM² DE COBRE ANTICHAMA RIGIDO, PVC 450/750V, NBR NM 247-3, CLASSE 1, PRETO;MT;010108;30; 3.000,000 ; -   ; 3.000,000 ; 22.935,60 ; -   ;PROJETO COPEL FASE 2
9192220084;MC;MR01;CABO DE ACO COBREADO P/ ATERRAMENTO BIMETALICO 50MM², 7 FIOS - 53% IACS;MT;010108;32; 1.000,000 ; -   ; 1.000,000 ; 45.452,30 ; -   ;PROJETO CELESC
3012002410;MC;PV01;"PARTE DO CARREGADOR MOTION FAST DC; DISJUNTOR DE CORRENTE RESIDUAL CAIXA MOLDADA TRIPOLAR; 250A; 30MA; TIPO A";PC;010108;07; 21,000 ; -   ; 21,000 ; 18.982,91 ; -   ;LIVOLTEK - VENDAS
9120690106;MP;MP04;ABRACADEIRA PLASTICA NYLON 300 MM X 8 MM BRANCA;PC;010108;28; 620,000 ; -   ; 620,000 ; 145,70 ; -   ;CDS PROJECTS ENERGY
9120694040;MP;MP07;MINIDISJUNTOR UNIPOLAR 3KA CURVA C 20A;PC;010108;28; 3,000 ; -   ; 3,000 ; 18,12 ; -   ;CDS PROJECTS ENERGY
9120694041;MP;MP07;MINIDISJUNTOR UNIPOLAR 3KA CURVA C 10A;PC;010108;28; 25,000 ; 6,000 ; 19,000 ; 125,76 ; 30,18 ;CDS PROJECTS ENERGY
9120694045;MP;MP07;DISJUNTOR BIPOLAR PARA CORRENTE CONTINUA 20A;PC;010108;28; 34,000 ; -   ; 34,000 ; 2.239,31 ; -   ;CDS PROJECTS ENERGY
9120901014;MP;MP08;POSTE FINAL BORNE K SKEW35;PC;010108;28; 16,000 ; -   ; 16,000 ; 11,03 ; -   ;CDS PROJECTS ENERGY
9121260606;MP;MP03;TERMINAL TUBULAR ILHOS DUPLO 2,5MM;PC;010108;28; 10,000 ; -   ; 10,000 ; 3,67 ; -   ;CDS PROJECTS ENERGY
9121260622;MP;MP03;BARRAMENTO TIPO ALCA COM 8 PARAFUSOS M + 2 PARAFUSO M8;PC;010108;28; 27,000 ; -   ; 27,000 ; 224,93 ; -   ;CDS PROJECTS ENERGY
9121290240;MP;MP07;QUADRO DE DISTRIBUICAO EM PVC DE CIRCUITO ELETRICO DO TIPO SOBREPOR PARA ATE 4 DISJUNTORES COM TRILHO DIN;PC;010108;28; 31,000 ; 6,000 ; 25,000 ; 259,95 ; 50,31 ;CDS PROJECTS ENERGY
9121290290;MP;MP07;HASTE TERRA S/ROS.BR.IH-858 5/8' X 2,4 0 MTS;PC;010108;28; 22,000 ; -   ; 22,000 ; 607,49 ; -   ;CDS PROJECTS ENERGY
9121520027;RV;RV01;ACESSORIO CARREGADOR VEICULAR  CC  MC  PEDESTAL BR  ACO  P ELETROSTATICA  PARABOLTS  LIVOLTEK  30KW;PC;010108;07; 20,000 ; -   ; 20,000 ; 18.738,75 ; -   ;LIVOLTEK - VENDAS
9121520028;RV;RV01;ACESSORIO CARREGADOR VEICULAR  CC  MC  PEDESTAL BR  ACO  P ELETROSTATICA  PARABOLTS  LIVOLTEK 40/60KW;PC;010108;07; 20,000 ; -   ; 20,000 ; 23.156,25 ; -   ;LIVOLTEK - VENDAS
9130109100;MP;MP08;PROTETOR SURTO DPS SOLAR 1040V 40KA;PC;010108;28; 8,000 ; -   ; 8,000 ; 453,87 ; -   ;CDS PROJECTS ENERGY
9191270789;MC;MR01;CHAPA DE ACRILICO TRANSPARENTE 1200X1000X3MM;PC;010108;32; 348,000 ; -   ; 348,000 ; 98.409,49 ; -   ;PROJETO CELESC
B1U2ME2E0M5SR12004;MC;RV01;"CARREGADOR VE LIVOLTEK CA BUSH SERIES 2X22 KW; 230VAC;CABO 5M; BLUETOOTH; 4G; ETHERNET; RFID; CABO 2XTIPO 2 """;PC;010108;08; 1,000 ; -   ; 1,000 ; 4.930,40 ; -   ;LIVOLTEK - WARRANTY
C03010E1EAFDR11003;RV;RV01;"CARREGADOR VE LIVOLTEK CC MOTION COMPACT 30 KW; 400VAC;CABO 5M; 100 A; RFID; ETHERNET; 4G; CABO 1XCCS2";PC;010108;07; 9,000 ; -   ; 9,000 ; 133.895,57 ; -   ;LIVOLTEK - VENDAS
C06010E2EAFGR11003;MC;RV01;CARREGADOR VEICULAR  LIVOLTEK  CC 60KW  MC  200A  2XCCS2  WALL-MOUNT  4G (LATAM)  PPOS;PC;010108;07; 9,000 ; -   ; 9,000 ; 253.631,30 ; -   ;LIVOLTEK - VENDAS
M18010E2EYFIR11003;MC;RV01;CARREGADOR VEICULAR  LIVOLTEK  CC 180KW  MF  300A  2XCCS2  GESTAO DE CABOS  4G (LATAM)  PPOS  ACE30;PC;010108;07; 20,000 ; -   ; 20,000 ; 1.534.787,24 ; -   ;LIVOLTEK - VENDAS
M24010E2EYGIR11003;MC;RV01;CARREGADOR VEICULAR  LIVOLTEK  CC 30KW  MC  100A  1XCCS2  WALL-MOUNT  4G (LATAM)  PPOS;PC;010108;07; 17,000 ; -   ; 17,000 ; 1.784.763,75 ; -   ;LIVOLTEK - VENDAS
2070500010;MP;MP08;BATERIA 12V 5A/H - ACESSORIOS GE;UN;010108;31; 132,000 ; -   ; 132,000 ; 10.853,04 ; -   ;PROJETO COPEL FASE 1
2080501810;MP;MP08;MODULO DE COMUNICACAO RFID MT626;UN;010108;07; 4,000 ; -   ; 4,000 ; 119,35 ; -   ;LIVOLTEK - VENDAS
2080703060;MP;MP08;"FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC. DC;AC/DC DC24V:5A(2080703060)";UN;010108;07; 6,000 ; -   ; 6,000 ; 616,40 ; -   ;LIVOLTEK - VENDAS
