Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
525030101001;RV;RV01;ACESSORIO CARREGADOR VEICULAR CC MC GERENCIADOR DE CABOS TIPO HASTE POR MOLA LIVOLTEK 40 60KW;PC;010102;07; 40,000 ; 40,000 ; -   ; 25.496,97 ; 25.496,97 ;LIVOLTEK - VENDAS
525030103001;RV;RV01;ACESSORIO CARREGADOR VEICULAR  CC  MC  ABRACADEIRA DO GERENCIADOR DE CABOS POR MOLA  LIVOLTEK  40/60KW;PC;010102;07; 40,000 ; 40,000 ; -   ; 952,22 ; 952,22 ;LIVOLTEK - VENDAS
9120450500;MP;MP04;TAMPA P/ CONECTOR DE PASSAGEM 4-10MM CZ;PC;010102;07; 240,000 ; -   ; 240,000 ; 324,00 ; -   ;LIVOLTEK - VENDAS
9120670122;MP;MP08;CONECTOR EMENDA 3 POLOS 6MM;PC;010102;07; 1.839,000 ; -   ; 1.839,000 ; 7.951,84 ; -   ;LIVOLTEK - VENDAS
9120670123;MP;MP08;CONECTOR EMENDA 5 POLOS 6MM;PC;010102;07; 211,000 ; -   ; 211,000 ; 1.247,16 ; -   ;LIVOLTEK - VENDAS
9120670125;MP;MP07;BORNE PUSH-IN 6MM² 3P COR CINZA 40A;PC;010102;07; 500,000 ; -   ; 500,000 ; 1.476,70 ; -   ;LIVOLTEK - VENDAS
9120690106;MP;MP04;ABRACADEIRA PLASTICA NYLON 300 MM X 8 MM BRANCA;PC;010102;07; 400,000 ; -   ; 400,000 ; 280,40 ; -   ;LIVOLTEK - VENDAS
9120694040;MP;MP07;MINIDISJUNTOR UNIPOLAR 3KA CURVA C 20A;PC;010102;07; 202,000 ; -   ; 202,000 ; 1.220,00 ; -   ;LIVOLTEK - VENDAS
9120694041;MP;MP07;MINIDISJUNTOR UNIPOLAR 3KA CURVA C 10A;PC;010102;07; 566,000 ; -   ; 566,000 ; 3.405,17 ; -   ;LIVOLTEK - VENDAS
9120694042;MP;MP07;DISJUNTOR BIPOLAR SDD62C40 3KA 40A;PC;010102;07; 100,000 ; -   ; 100,000 ; 2.564,23 ; -   ;LIVOLTEK - VENDAS
9120694043;MP;MP07;DISJUNTOR BIPOLAR SD62 CURVA C 3KA 63A;PC;010102;07; 100,000 ; -   ; 100,000 ; 3.781,01 ; -   ;LIVOLTEK - VENDAS
9120694044;MP;MP07;DISJUNTOR MONO SDD61C20 3KA 20A;PC;010102;07; 100,000 ; -   ; 100,000 ; 592,42 ; -   ;LIVOLTEK - VENDAS
9120901014;MP;MP08;POSTE FINAL BORNE K SKEW35;PC;010102;07; 1.056,000 ; -   ; 1.056,000 ; 1.322,32 ; -   ;LIVOLTEK - VENDAS
9121260606;MP;MP03;TERMINAL TUBULAR ILHOS DUPLO 2,5MM;PC;010102;07; 627,000 ; -   ; 627,000 ; 182,27 ; -   ;LIVOLTEK - VENDAS
9121260608;MP;MP03;TERM.ILH TUB.LJ DPL.ISO. CT-3709 4MM;PC;010102;07; 1.111,000 ; -   ; 1.111,000 ; 731,37 ; -   ;LIVOLTEK - VENDAS
9121260610;MP;MP03;TERMINAL COMPRESSAO M.MAGNET (6306) 16MM;PC;010102;07; 250,000 ; -   ; 250,000 ; 315,80 ; -   ;LIVOLTEK - VENDAS
9121260620;MP;MP03;BARRAMENTO NEUTRO 06 TERM AZUL FIX 70, 0MM SBN6;PC;010102;07; 247,000 ; -   ; 247,000 ; 2.857,89 ; -   ;LIVOLTEK - VENDAS
9121260621;MP;MP03;BARRAMENTO TERRA 06 TERM VERDE FIX 70, 0MM SBT6;PC;010102;07; 245,000 ; -   ; 245,000 ; 3.083,47 ; -   ;LIVOLTEK - VENDAS
9121260622;MP;MP03;BARRAMENTO TIPO ALCA COM 8 PARAFUSOS M + 2 PARAFUSO M8;PC;010102;07; 31,000 ; -   ; 31,000 ; 254,43 ; -   ;LIVOLTEK - VENDAS
9121290235;MP;MP08;LAMPADA DE LED 9W MODELO BULBO COM ROSCA E27 6500K  BIVOLT;PC;010102;07; 242,000 ; -   ; 242,000 ; 665,04 ; -   ;LIVOLTEK - VENDAS
9121290240;MP;MP07;QUADRO DE DISTRIBUICAO EM PVC DE CIRCUITO ELETRICO DO TIPO SOBREPOR PARA ATE 4 DISJUNTORES COM TRILHO DIN;PC;010102;07; 183,000 ; -   ; 183,000 ; 4.230,91 ; -   ;LIVOLTEK - VENDAS
9121290242;MP;MP07;CAIXA PVC RETANGULAR AM 4 X 2;PC;010102;07; 1.240,000 ; -   ; 1.240,000 ; 1.226,11 ; -   ;LIVOLTEK - VENDAS
9121290243;MP;MP07;PLAFON SOBREPOR PVC NA COR BRANCO COM SOQUETE ROSCA E27;PC;010102;07; 183,000 ; -   ; 183,000 ; 542,85 ; -   ;LIVOLTEK - VENDAS
9121290244;MP;MP07;PLACA CEGA 4X2 C/ SUPORTE CANOA;PC;010102;07; 1.248,000 ; -   ; 1.248,000 ; 3.354,87 ; -   ;LIVOLTEK - VENDAS
9121290281;MP;MP07;ABRACADEIRA PARA CABO PP;PC;010102;07; 2.914,000 ; -   ; 2.914,000 ; 1.900,22 ; -   ;LIVOLTEK - VENDAS
9121290290;MP;MP07;HASTE TERRA S/ROS.BR.IH-858 5/8' X 2,4 0 MTS;PC;010102;07; 59,000 ; -   ; 59,000 ; 2.350,30 ; -   ;LIVOLTEK - VENDAS
