Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
3061901880;MP;MP03;HELICE MEDIA METALICA PARA PROPULSOR DE MOTOR DE BARCO;UN;010106;07; 6,000 ; -   ; 6,000 ; 231,97 ; -   ;LIVOLTEK - VENDAS
3061901900;MP;MP03;CONE DE NARIZ METALICO PARA PROPULSOR DE MOTOR DE BARCO;UN;010106;07; 2,000 ; -   ; 2,000 ; 37,59 ; -   ;LIVOLTEK - VENDAS
3062000540;MP;MP03;BLOCO DE PRESSAO METALICO PARA PROPULSOR DE EMBARCACAO;UN;010106;07; 10,000 ; -   ; 10,000 ; 175,76 ; -   ;LIVOLTEK - VENDAS
3080104830;MP;MP05;EMPUNHADURA DE BORRACHA PARA FIXACAO DO PROPULSOR;UN;010106;07; 5,000 ; -   ; 5,000 ; 68,28 ; -   ;LIVOLTEK - VENDAS
3080702490;MP;MP04;VEDACAO DE BORRACHA PARA CONJUNTO DE PROPULSAO;UN;010106;07; 12,000 ; -   ; 12,000 ; 50,47 ; -   ;LIVOLTEK - VENDAS
3080902070;MP;MP04;ANEL DE VEDACAO DO CONE DE NARIZ DE BORRACHA (69*3.55);UN;010106;07; 10,000 ; -   ; 10,000 ; 28,51 ; -   ;LIVOLTEK - VENDAS
3080902100;MP;MP04;ANEL DE VEDACAO DO CONE DE NARIZ DE BORRACHA (92.5*3.55);UN;010106;07; 12,000 ; -   ; 12,000 ; 16,99 ; -   ;LIVOLTEK - VENDAS
3090510710;MP;MP06;CABO DE COMUNICACAO DA BATERIA COM PECAS DE CONEXAO;UN;010106;07; 4,000 ; -   ; 4,000 ; 122,56 ; -   ;LIVOLTEK - VENDAS
3090514600;MP;MP06;CABO DE ENERGIA DE 3 METROS COM PECAS DE CONEXAO;UN;010106;07; 2,000 ; -   ; 2,000 ; 636,56 ; -   ;LIVOLTEK - VENDAS
3090514610;MP;MP06;CABO DE BACKUP DA BATERIA COM PECAS DE CONEXAO;UN;010106;07; 7,000 ; -   ; 7,000 ; 354,08 ; -   ;LIVOLTEK - VENDAS
4010104440;MC;PV01;GABARITO DE PASTA DE SOLDA SMD - STENCIL, DE ACO, OBTIDO POR DOBRAGEM;UN;010106;12; 18,000 ; -   ; 18,000 ; 6.792,37 ; -   ;SOLAR DISAPPROVAL
4010401450;MP;MP03;CARRINHO DE TRANSPORTE PARA MOTOR DE POPA;UN;010106;07; 1,000 ; -   ; 1,000 ; 498,18 ; -   ;LIVOLTEK - VENDAS
8040101110;RV;RV01;MODULO FOTOVOLTAICO 700WP BIFACIAL HJT RISEN (RSM132-8-700BHDG);UN;010106;07; 482,000 ; 15,000 ; 467,000 ; 222.235,04 ; 6.916,03 ;LIVOLTEK - VENDAS
8040101110;RV;RV01;MODULO FOTOVOLTAICO 700WP BIFACIAL HJT RISEN (RSM132-8-700BHDG);UN;010106;12; 7,000 ; -   ; 7,000 ; 3.209,20 ; -   ;SOLAR DISAPPROVAL
9120692028;RV;RV01;BATERIA RECARREGAVEL DE ION DE LITIO (BLF51-5R31001);UN;010106;12; 1,000 ; -   ; 1,000 ; 9.855,20 ; -   ;SOLAR DISAPPROVAL
9120692066;RV;RV01;INVERSOR ON-GRID LIVOLTEK GT1-3K6D1;UN;010106;12; 2,000 ; -   ; 2,000 ; 3.977,10 ; -   ;SOLAR DISAPPROVAL
