CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
LHECCHR11001;DISTRIBUIDOR DE CONEXOES PARA REDES (HUBS), BALANCEADOR DINAMICO LIVOLTEK DLB EV HUB (LHECCHR11001);;;DIVERSOS - MEDIDOR DE ENERGIA;LHECCHR11001;;;;;;;;
LHE34DRR12008;CONTADOR DE ELETRICIDADE INDIRETO TRIF. PARA INSTALACAO EM TRILHO MEDICAO COM TC DE 10A (LHE34DRR12008);;;DIVERSOS - MEDIDOR DE ENERGIA;LHE34DRR12008);;;;;;;;
LHE34DRR11002;MEDIDOR DE ENERGIA (CONTADOR DE ELETRICIDADE) TRIFASICO PARA CORRENTE ALTERNADA, SMART METER DIGITAL MODELO LHE34DR;;;DIVERSOS - MEDIDOR DE ENERGIA;LHE34DR;;;;;;;;
LHE34DRR11001;MEDIDOR DE ENERGIA (CONTADOR DE ELETRICIDADE) TRIFASICO, DIGITAL, LHE34DRR11001.;;;DIVERSOS - MEDIDOR DE ENERGIA;LHE34DRR11001;;;;;;;;
LHE12DRR12001;MEDIDOR INTELIGENTE (CONTADOR DE ELETRICIDADE) LHE12DR (LHE12DRR12001);;;DIVERSOS - MEDIDOR DE ENERGIA;LHE12DRR12001;;;;;;;;
KIT-RDNT-V01;PLACAS MONTADAS P/ MODULACAO CHAVEADORA REDUNDANTE P70, PARA ANTENAS PROPRIAS P/ RADIO(KIT-RDNT-V01);;;;;;;;;;;;
JKM555M-72HL4;MODULO SOLAR FOTOVOLTAICO JINKO TIGER PRO 72HC 555WP P-TYPE MONOFACIAL (JKM555M-72HL4-V);;PRODUTO;KIT SOLAR - PLACA SOLAR;MODULO SOLAR FOTOVOLTAICO JINKO TIGER PRO 72HC 555WP P-TYPE MONOFACIAL (JKM555M-72HL4-V);;;;;;;;
HYPER-5000R31005;INVERSORES PARA SISTEMAS FOTOVOLTAICOS, TIPO STRING, PARA REDE MONOFASICA, COM POTENCIA NOMINAL DE SAIDA DE 5.000W;;PRODUTO;INVERSOR;;;;;;;;;
HYPER-5000R12001;HYPER-5000 - INVERSOR FOTOVOLTAICO DA MARCA LIVOLTEK, MODELO HYPER-5000 MONOFASICO;;PRODUTO;INVERSOR;;;;;;;;;
HYPER-5000R12000;HYPER-5000 - INVERSOR FOTOVOLTAICO DA MARCA LIVOLTEK, MODELO HYPER-5000 MONOFASICO;;PRODUTO;INVERSOR;;;;;;;;;
HYPER-3000R11001;HYPER-3000 - INVERSOR FOTOVOLTAICO DA MARCA LIVOLTEK, MODELO HYPER-3000 MONOFASICO;;PRODUTO;INVERSOR;;;;;;;;;
HXEM100R10003;GERENCIADOR DE ARMAZENAMENTO DE ENERGIA IEMS 2000 HXEM100;;;DIVERSOS;GERENCIADOR DE ARMAZENAMENTO DE ENERGIA IEMS 2000 HXEM100;;;;;;;;
HXEM100.R100;IEMS 2000 HXEM100;;;;;;;;;;;;
HXEDE081R10001;MONITOR DE ENERGIA ELETRICA HXEDE081;;;DIVERSOS;MONITOR DE ENERGIA ELETRICA HXEDE081;;;;;;;;
HXD822.R210;MODULO DE COMUNICACAO GATEWAY - BIFROST.CG-G2 HXD822 - (HXD822.R210);;;;;;;;;;;;
HXD811-38 (61616);CHAVE TRIFASICA HXD811 38KV/800A INTERRUP. A VACUO E ATUADOR MAGNETICO;;;;;;;;;;;;
HXCB20R02101;AC STRING BOX HXDB50-3P 50A;;PRODUTO;STRING BOX;AC STRING BOX HXDB50-3P 50A;;;;;;;;
HXCB20R02003;AC STRING BOX HXDB63-2P 63A;;PRODUTO;STRING BOX;AC STRING BOX HXDB63-2P 63A;;;;;;;;
HXCB20R02002;AC STRING BOX HXDB40-2P 40A;;PRODUTO;STRING BOX;AC STRING BOX HXDB40-2P 40A;;;;;;;;
HXCB20R02001;AC STRING BOX HXDB20-2P 20A;;PRODUTO;STRING BOX;AC STRING BOX HXDB20-2P 20A;;;;;;;;
HXCB10R02104;DC STRING BOX HXCB06-2/2 600V 40A WITHOUT MCB;;PRODUTO;STRING BOX;DC STRING BOX HXCB06-2/2 600V 40A WITHOUT MCB;;;;;;;;
