CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
BV1-1K548L1;INVERSOR OFF-GRID LIVOLTEK BV1-1K548L1;;PRODUTO;INVERSOR;;;;;;;;;
BLF-B5150R11001;BATERIA DE LITIO BLF-B5150 COM PECAS DE CONEXAO;;PRODUTO;BATERIA;BLF-B5150 COM PECAS DE CONEXAO;;;;;;;;
BLF-B5150;Carregador para bateria BLF-B5150;105990;PRODUTO;BATERIA;Carregador para bateria BLF-B5150;;;;;;;;
BLF-B51150R11001;MODULOS DE ACUMULADORES ELETRICOS DE IONS DE LITIO(BATERIA DE LITIO 51,2V 150AH 7.68KWH BLF- B1150);;PRODUTO;BATERIA;MODULOS DE ACUMULADORES ELETRICOS DE IONS DE LITIO(BATERIA DE LITIO 51,2V 150AH 7.68KWH BLF- B1150);;;;;;;;
BLF-B51100R22001;BATERIA DE LITIO 51,2V 100AH 5,12KWH BLF-B51100R22001;;PRODUTO;BATERIA;BLF-B51100R22001;;;;;;;;
BLF-B51100R21001;MODULO DE ACUMULADORES ELETRICOS 100AH (BLF-B51100R21001);;PRODUTO;BATERIA;MODULO DE ACUMULADORES ELETRICOS 100AH (BLF-B51100R21001);;;;;;;;
BLF-B51100R11001;MODULOS DE ACUMULADORES ELETRICOS (BLF-B51100R11001);;PRODUTO;BLF;;;;;;;;;
BLF51-5R31001;BATERIA RECARREGAVEL DE ION DE LITIO (BLF51-5R31001);;PRODUTO;BATERIA;BLF51-5R31001;;;;;;;;
BHF-X261DR12001;MODULO BHF-X261DR12001 MODULO DE BATERIA 832V 261KWH IP55 GABINETE UNICO;;PRODUTO;BATERIA;MODULO BHF-X261DR12001 MODULO DE BATERIA 832V 261KWH IP55 GABINETE UNICO;;;;;;;;
BHF-X261DR11001;MODULO BHF-X261DR11001 MODULO DE BATERIA 832V 261KWH IP55 GABINETE UNICO;;;BATERIA;MODULO BHF-X261DR11001 MODULO DE BATERIA 832V 261KWH IP55 GABINETE UNICO;;;;;;;;
BHF-X225R11001;CONVERSOR ESTATICO COM SISTEMA DE ARMAZENAMENTO DE ENERGIA BESS 100KW 225KWH IP55 BHF-X2225;;;BESS;CONVERSOR ESTATICO COM SISTEMA DE ARMAZENAMENTO DE ENERGIA BESS 100KW 225KWH IP55 BHF-X2225;;;;;;;;
BHF-C01YDR12001;MODULO DE CONTROLE DE BATERIA BHF-B51100;;;BATERIA - MODULO;MODULO DE CONTROLE DE BATERIA BHF-B51100;;;;;;;;
BHF-B51100R23001;MODULO DE BATERIA 5,12 KWH MODELO BHF-B51100;;;BATERIA - MODULO;MODULO DE BATERIA 5,12 KWH MODELO BHF-B51100;;;;;;;;
BHF-B51100R11101;CONTROLADOR BMS PARA BATERIA DE LITIO BHF-B51100R11101 (DUMMY);105005;PRODUTO;BATERIA - DUMMY;CONTROLADOR BMS PARA BATERIA DE LITIO BHF-B51100R11101 (DUMMY);;;;;;;;
B1U2ME2E0M5SR12004;"CARREGADOR VE LIVOLTEK CA BUSH SERIES 2X22 KW; 230VAC;CABO 5M; BLUETOOTH; 4G; ETHERNET; RFID; CABO 2XTIPO 2 """;;PRODUTO;CARREGADOR 22kW;;;;;;;;;
AC1-LCDR11001;AC1-LCDR11001;;;;;;;;;;;;
AC1-ATFR11001;AC1-ATFR11001;;;;;;;;;;;;
AC1-AIOR11001M;CAIXA DE ALUMINIO FUNDIDO PARA ALOCACAO DE BATERIAS DE LITIO PARA USO EM INVERSORES FOTOVOLTAICOS;;MATERIA-PRIMA;DIVERSOS;CAIXA DE ALUMINIO FUNDIDO PARA ALOCACAO DE BATERIAS DE LITIO PARA USO EM INVERSORES FOTOVOLTAICOS;;;;;;;;
A0220400E11R11005;CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | RFID | BOTAO DE;;PRODUTO;CARREGADOR 22kW;CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | RFID | BOTAO DE;;;;;;;;
A0220400E11R11004;CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | BOTAO DE EMERGE;;PRODUTO;CARREGADOR 22kW;CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | BOTAO DE EMERGE;;;;;;;;
A0220400E11R11002;CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | HARDWARE A21 | BO;;PRODUTO;CARREGADOR 22kW;CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | HARDWARE A21 | BO;;;;;;;;
A0070230E1EHR11002;CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ACE | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | RFID;105589;PRODUTO;CARREGADOR 7,3kW;CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ACE | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | RFID;;;;;;;;
105589M;MATÉRIA-PRIMA - A0070230E1EHR11002;105589;MATERIA-PRIMA;CARREGADOR 7,3kW;A0070230E1EHR11002 (MATÉRIA-PRIMA);;;;;;;;
A0070230E1EHR11002;CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ACE | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | RFID;;PRODUTO;CARREGADOR 7,3kW;;;;;;;;;
A0070230E11R11305;CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ATOM | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | BOTAO DE EMERG;;PRODUTO;CARREGADOR 7,3kW;CARREGADOR VEICULAR | LIVOLTEK | CA 7.3KW | ATOM | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | BOTAO DE EMERG;;;;;;;;
A0070230E11R11302;CARREGADOR VEICULAR| LIVOLTEK | CA 7.3KW | ATOM | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | HARDWARE A21 | BO;;PRODUTO;CARREGADOR 7,3kW;CARREGADOR VEICULAR| LIVOLTEK | CA 7.3KW | ATOM | 230V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | HARDWARE A21 | BO;;;;;;;;
915512CQ03;MEDIDOR ZEUS 8021-NG NIC CLASSE B 120V 1 ELEM. 1 FASE 2 FIOS 15(100)A;;;;;;;;;;;;
91206940A7;CONECTOR PERFURANTE COM CAPUZ, RAMAL CABO 35MM² (35CM), INCORPORADO;;PRODUTO;CONECTOR;;;;;;;;;
91206940A6;CONECTOR PERFURANTE COM CAPUZ, RAMAL CABO 25MM² (35CM), INCORPORADO;;PRODUTO;CONECTOR;;;;;;;;;
91206940A5;CONECTOR PERFURANTE COM CAPUZ, RAMAL CABO 10MM² (35CM), INCORPORADO;;PRODUTO;CONECTOR;;;;;;;;;
91206940A4;CONECTOR PERFURANTE COM CAPUZ, RAMAL CABO 16MM² (35CM), INCORPORADO;;PRODUTO;CONECTOR;;;;;;;;;
91204S0204M;TAMPA PRINCIPAL (HXCB10S - 2/2) - STRING BOX;;MATERIA-PRIMA;STRING BOX;TAMPA PRINCIPAL (HXCB10S - 2/2) - STRING BOX;;;;;;;;
91204100A2;CAIXA DE SOBREPOR PARA DISJUNTOR DIN TRIPOLAR;;;;;;;;;;;;
91204100A1;CAIXA DE SOBREPOR PARA DISJUNTOR DIN BIPOLAR;;;;;;;;;;;;
106171M;INVERSOR GT1 7-10KW 220/230/240V IEC with Wi-Fi/ SPD II/CT/AC APS;106171;MATERIA-PRIMA;INVERSOR - GT1;GT1 7-10KW 220/230/240V IEC with Wi-Fi/ SPD II/CT/AC APS;;;;;;;;
61615.R120;RELIGADOR AUTOMATICO MONOFASICO AUTOALIMENTADO COM INTERRUPCAO A VACUO (HXD820-29/100A-6.3KA);;;;;;;;;;;;
61050.R120;RELIGADOR AUTOMATICO MONOFASICO AUTOALIMENTADO COM INTERRUPCAO A VACUO HXD820-15.5/100A-6.3KA;;;;;;;;;;;;
565GBD1102;"HID. ULTRASSONICO (CONT.LIQ) IND.; ACO; DN300-500 MM; Q3=1000 M³/H; R400; PN16; PULSO; MODBUS (ZLW300-1000).";;;;;;;;;;;;
5634C30101;HID. ULTRASSONICO (CONT. LIQ) RES., LATAO, DN20-190 MM, Q3= 4 M³/H, R500, PULSO, SABESP (ZLW20-4).;;;;;;;;;;;;
2160100240LM;CARREGADOR ECH10051 DE 250W PARA BATERIAS DE LITIO;;MATERIA-PRIMA;BATERIA - CARREGDOR;CARREGADOR ECH10051 DE 250W PARA BATERIAS DE LITIO;;;;;;;;
106170M;MATÉRIA-PRIMA - GT1 4-6 KW;;MATERIA-PRIMA;INVERSOR - GT1;GT1 4-6 KW (MATÉRIA-PRIMA);;;;;;;;
105652M;MATÉRIA-PRIMA - GT3-25KD1R11008;;MATERIA-PRIMA;INVERSOR - GT3;GT3-25KD1R11008 (MATÉRIA-PRIMA);;;;;;;;
525030103001;ACESSORIO CARREGADOR VEICULAR | CC | MC | ABRACADEIRA DO GERENCIADOR DE CABOS POR MOLA | LIVOLTEK | 40/60KW;;PRODUTO;CARREGADOR - ACESSORIO;ACESSORIO CARREGADOR VEICULAR | CC | MC | ABRACADEIRA DO GERENCIADOR DE CABOS POR MOLA | LIVOLTEK | 40/60KW;;;;;;;;
525030101001;ACESSORIO CARREGADOR VEICULAR | CC | MC | GERENCIADOR DE CABOS TIPO HASTE POR MOLA | LIVOLTEK | 40/60KW;;PRODUTO;CARREGADOR - ACESSORIO;ACESSORIO CARREGADOR VEICULAR | CC | MC | GERENCIADOR DE CABOS TIPO HASTE POR MOLA | LIVOLTEK | 40/60KW;;;;;;;;
525030098001;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS ARO (CONJUNTO DA BRACADEIRA DO CABO DE CARREGAMENTO);DIAMETRO 30.2MM;";;NAO CADASTRADO;DIVERSOS;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS ARO (CONJUNTO DA BRACADEIRA DO CABO DE CARREGAMENTO);DIAMETRO 30.2MM;";;;;;;;;
525030096001;"ARO DE CONEXAO DO CABO DE RECARGA DO GERENCIADOR DE CABOS; BRACACEIRA 30.2MM";;NAO CADASTRADO;DIVERSOS;"ARO DE CONEXAO DO CABO DE RECARGA DO GERENCIADOR DE CABOS; BRACACEIRA 30.2MM";;;;;;;;
525030077001;"BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO DIREITO";;NAO CADASTRADO;DIVERSOS;"BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO DIREITO";;;;;;;;
525030076001;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS; D30.2;170X164X66.5MM;ROHS";;NAO CADASTRADO;DIVERSOS;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS; D30.2;170X164X66.5MM;ROHS";;;;;;;;
525030075001;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS;D30.2 ;170X164X66.5MM;ROHS";;NAO CADASTRADO;DIVERSOS;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS;D30.2 ;170X164X66.5MM;ROHS";;;;;;;;
525030074001;"BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO ESQUERDO";;NAO CADASTRADO;DIVERSOS;"BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO ESQUERDO";;;;;;;;
525030073001;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS GERENCIAMENTO DE CABOS RODA DE QUATRO VIAS; 82.5X55X16MM;ROHS";;NAO CADASTRADO;DIVERSOS;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS GERENCIAMENTO DE CABOS RODA DE QUATRO VIAS; 82.5X55X16MM;ROHS";;;;;;;;
525030024002;MAQUINAS AUTOMATICA PARA PROCESSAMENTO DE DADOS TIPO LEITOR DE CARTOES MAGNETICOS RFID KIT PARA AC EV-CHARGER;;NAO CADASTRADO;DIVERSOS;MAQUINAS AUTOMATICA PARA PROCESSAMENTO DE DADOS TIPO LEITOR DE CARTOES MAGNETICOS RFID KIT PARA AC EV-CHARGER;;;;;;;;
525010044002;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;261.5MM*20MM LED DE STATUS LIGADO";;NAO CADASTRADO;DIVERSOS;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;261.5MM*20MM LED DE STATUS LIGADO";;;;;;;;
525010043001;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5MM*20MM LED DE STATUS LIGADO";;NAO CADASTRADO;DIVERSOS;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5MM*20MM LED DE STATUS LIGADO";;;;;;;;
525010042005;PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE PLC (525010042005);;NAO CADASTRADO;DIVERSOS;PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE PLC (525010042005);;;;;;;;
525010040003;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5*20 LED STATUS DE RECARREGAMENTO";;NAO CADASTRADO;DIVERSOS;"PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5*20 LED STATUS DE RECARREGAMENTO";;;;;;;;
525010035012;PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE CARREGAMENTO(CCU);;NAO CADASTRADO;DIVERSOS;PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE CARREGAMENTO(CCU);;;;;;;;
525010027004;PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DA TRAVA ELETRONICA (525010027004);;NAO CADASTRADO;DIVERSOS;PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DA TRAVA ELETRONICA (525010027004);;;;;;;;
525010021005;MODULO DE COMUNICACAO WIFI (525010021005);;NAO CADASTRADO;DIVERSOS;MODULO DE COMUNICACAO WIFI (525010021005);;;;;;;;
525010020008;MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS EM REDES SEM FIO (WLAN), FREQUENCIA 2.4 GHZ, 54MBIT/S, 3.3VDC;;NAO CADASTRADO;DIVERSOS;MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS EM REDES SEM FIO (WLAN), FREQUENCIA 2.4 GHZ, 54MBIT/S, 3.3VDC;;;;;;;;
525000000000;MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS EM REDES SEM FIO (WLAN), FREQUENCIA 2.4 GHZ, 54MBIT/S, 3.3VDC;;;;;;;;;;;;
523000717001;CONVERSOR ESTATICO DE POTENCIA TIPO ESTACAO DE RECARGA VEICULAR LCDC 60KW 2XCCS2 5M RFID ETHERNET 4G;;NAO CADASTRADO;DIVERSOS;CONVERSOR ESTATICO DE POTENCIA TIPO ESTACAO DE RECARGA VEICULAR LCDC 60KW 2XCCS2 5M RFID ETHERNET 4G;;;;;;;;
523000000000M;CONVERSOR ESTATICO DE POTENCIA TIPO ESTACAO DE RECARGA VEICULAR LCDC 60KW 2XCCS2 5M RFID ETHERNET 4G;;MATERIA-PRIMA;INVERSOR - GT3;CONVERSOR ESTATICO DE POTENCIA TIPO ESTACAO DE RECARGA VEICULAR LCDC 60KW 2XCCS2 5M RFID ETHERNET 4G;;;;;;;;
9192220901;MOTOR DE POPA, (MODEL: EDP003L, 3.0 KW 3.0 KW, DC 36~60 V, DIMENSOES (LXBXH): 423MMX288.5MMX1140MM;;;;;;;;;;;;
9192220559;CONECTOR RJ45 MACHO CAT6 10U;;PRODUTO;CONECTOR;;;;;;;;;
9192220387;DISJUNTOR BIPOLAR SDD62C16 3KA 16A;;;;;;;;;;;;
9192220364;"PEDESTAL PARA ESTACAO DE RECARGA DC30KW; 200X80MM; ACO CARBONO 1020; COM FURACOES; PINTURA ELETROSTATICA; E PARABOLTS";;PRODUTO;CARREGADOR - PEDESTAL;"PEDESTAL PARA DC30KW; 200X80MM";;;;;;;;
9192220339;CABO DE COBRE FLEXIVEL 16MM² EPR OU XLPE CLASSE 5 0,6/1 KV;;PRODUTO;DIVERSOS - CABO;CABO DE COBRE FLEXIVEL 16MM² EPR OU XLPE CLASSE 5 0,6/1 KV;;;;;;;;
9192220338;CABO DE COBRE 35MM² EPR 8.7/15 KV CLASSE 2;;PRODUTO;DIVERSOS - CABO;CABO DE COBRE 35MM² EPR 8.7/15 KV CLASSE 2;;;;;;;;
9192220337;CABO DE COBRE FLEXIVEL 25MM² EPR OU XLPE CLASSE 5 0,6/1 KV;;PRODUTO;DIVERSOS - CABO;CABO DE COBRE FLEXIVEL 25MM² EPR OU XLPE CLASSE 5 0,6/1 KV;;;;;;;;
9192220336;CABO DE COBRE FLEXIVEL 120MM² EPR OU XLPE CLASSE 5 0,6/1 KV;;PRODUTO;DIVERSOS - CABO;CABO DE COBRE FLEXIVEL 120MM² EPR OU XLPE CLASSE 5 0,6/1 KV;;;;;;;;
9192220335;CABO DE ALUMINIO 70 MM² COBERTO XLPE 15 KV CLASSE 2;;PRODUTO;DIVERSOS - CABO;CABO DE ALUMINIO 70 MM² COBERTO XLPE 15 KV CLASSE 2;;;;;;;;
9192220334;CABO DE ALUMINIO 185MM² COBERTO XLPE 15 KV CLASSE 2;;PRODUTO;DIVERSOS - CABO;CABO DE ALUMINIO 185MM² COBERTO XLPE 15 KV CLASSE 2;;;;;;;;
9192220162;CINTA POSTE CIRCULAR ACO GALVANIZADO 170MM;;;;;;;;;;;;
9192220151;DISJUNTOR DIN TRIPOLAR 70A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220149;DISJUNTOR DIN TRIPOLAR 50A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220148;DISJUNTOR DIN TRIPOLAR 40A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220143;DISJUNTOR DIN BIPOLAR 70A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220141;DISJUNTOR DIN BIPOLAR 50A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220140;DISJUNTOR DIN BIPOLAR 40A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220134;DISJUNTOR DIN MONOPOLAR 63A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220133;DISJUNTOR DIN MONOPOLAR 50A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220132;DISJUNTOR DIN MONOPOLAR 40A, CURVA C, ICN = 6KA;;;;;;;;;;;;
9192220084;CABO DE ACO COBREADO P/ ATERRAMENTO BIMETALICO 50MM², 7 FIOS - 53% IACS;;PRODUTO;CABO;;;;;;;;;
9192220083;CONECTOR DE COMPRESSAO PARA ATERRAMENTO LIGA DE COBRE SACG-1258-70;;PRODUTO;CONECTOR;;;;;;;;;
9192219833;KIT TELHADO FIBROCIMENTO P/ METALICO METALLIGHT 4 MODULOS STD;;PRODUTO;KIT SOLAR - TELHADO;KIT TELHADO FIBROCIMENTO P/ METALICO METALLIGHT 4 MODULOS STD;;;;;;;;
9192219832;KIT TELHADO FIBROCIMENTO P/ MADEIRA METALLIGHT 4 MODULOS STD;;PRODUTO;KIT SOLAR - TELHADO;KIT TELHADO FIBROCIMENTO P/ MADEIRA METALLIGHT 4 MODULOS STD;;;;;;;;
9192219664;CABO 10MM² DE COBRE ANTICHAMA RIGIDO, PVC 450/750V, NBR NM 247-3, CLASSE 1, PRETO;;PRODUTO;CABO;;;;;;;;;
9192219663;ANCORAGEM TIPO CUNHA PARA CABO DROP FLAT OU CIRCULAR;;;;;;;;;;;;
9192219662;CONECTOR MECANICO PARA DROP SC/APC P/ FIBRA G.657 E G.652;;PRODUTO;CONECTOR;;;;;;;;;
9192219517;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 280*450MM";;;;;;;;;;;;
9192219516;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 400*450MM";;;;;;;;;;;;
9192219515;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 360*450MM";;;;;;;;;;;;
9192219514;"PALETE DE CODIFICACAO PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 320*450MM";;;;;;;;;;;;
9192219513;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 8MM; TAMANHO 480*350MM";;;;;;;;;;;;
9192219512;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 400*280MM";;;;;;;;;;;;
9192219511;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 360*280MM";;;;;;;;;;;;
9192219510;"PALETE DE SOLDA PCB - MATERIAL DE PEDRA SINTETICA DE 6MM; TAMANHO 320*280MM";;;;;;;;;;;;
9192219508;PLACA DE COBERTURA DA BANDEJA DE FIBRA DE VIDRO (REF.: 4032500550 );;;;;;;;;;;;
9191271297;"ABRACADEIRA GUIA PARA MASTRO 1.1/2""";;;;;;;;;;;;
9191271296;"MASTRO DE FERRO GALVANIZADO 1.1/2"" COMPRIMENTO 3M PARA PARA-RAIOS FRANKLIN";;;;;;;;;;;;
9191271234;CABO CAT6;;PRODUTO;CABO;;;;;;;;;
9191271065;KIT SOLO EASY LINE 4 MODULOS - 1134X2279;;PRODUTO;KIT SOLAR - SOLO;KIT SOLO EASY LINE 4 MODULOS - 1134X2279;;;;;;;;
9191271064;TRIANGULO RETRATO TELESCOPIO 4 MODULOS 15° A 30° LAJE;;;KIT SOLAR - TELHADO;TRIANGULO RETRATO TELESCOPIO 4 MODULOS 15° A 30° LAJE;;;;;;;;
9191271063;KIT MINI TRILHO BAIXO P-1 PARA 4 MODULOS 300 MM;;PRODUTO;KIT SOLAR - TELHADO;KIT MINI TRILHO BAIXO P-1;;;;;;;;
9191271062;KIT TELHADO FIBROMETAL FIX MTL 250 MM 4 MODULOS STD;;PRODUTO;KIT SOLAR - TELHADO;KIT TELHADO FIBROMETAL FIX MTL;;;;;;;;
9191271061;KIT TELHADO FIBROCIMENTO FIX MADE 200 MM 4 MODULOS STD;;PRODUTO;KIT SOLAR - TELHADO;KIT TELHADO FIBROCIMENTO FIX MADE;;;;;;;;
9191271060;KIT TELHADO CERAMICO CCM-10 4 MODULOS STD.;;PRODUTO;KIT SOLAR - TELHADO;KIT TELHADO CERAMICO CCM-10 4 MODULOS STD.;;;;;;;;
9191271052;TERMINAL OLHAL PRE ISOLADO DE 2,5MM;;;;;;;;;;;;
9191271044;PAINEL PARA FIXACAO DE DISJUNTORES EM BASTIDOR DE TELECOM - 20 DISJ. - SEITEC;;;;;;;;;;;;
9191270849;CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 14,8V/80000MAH - 110V;;;;;;;;;;;;
9191270848;CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 12,8V/130500MAH - 110V;;;DIVERSOS;CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 12,8V/130500MAH - 110V;;;;;;;;
9191270847;CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 22,4V/133200MAH - 110V;;;DIVERSOS;CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 22,4V/133200MAH - 110V;;;;;;;;
9191270843;FITA ISOLANTE 18MM LARG X 10 MT;;;;;;;;;;;;
9191270834;"ELETRODUTO ACO CARBONO MEDIO A GALVANIZADO FOGO 1/2"" BSP 6M ABNT NBR 5598";;;;;;;;;;;;
9191270833;"ELETRODUTO ACO CARBONO MEDIO A GALVANIZADO FOGO 1/2"" BSP 3M ABNT NBR 5598";;;;;;;;;;;;
9191270789;CHAPA DE ACRILICO TRANSPARENTE 1200X1000X3MM;;;;;;;;;;;;
9191270788;SUPORTE OMEGA PARA ELETROCALHA 50X50MM #20;;;;;;;;;;;;
9191270787;"BORRACHA TIPO ""U"" 8X6X1,5MM";;;;;;;;;;;;
9191270510;TAMPAO PLASTICO PARA CONDULETE DE 3/4;;;;;;;;;;;;
9191270416;CABO DE ALUMINIO MULTIPLEXADO DUPLEX 2X16MM;;PRODUTO;CABO;;;;;;;;;
9191270264;CONECTOR TERMINAL DE COBRE 16MM2 COM PARAFUSO M12X50 PARA CHAVE FUSIVEL;;PRODUTO;CONECTOR;;;;;;;;;
9191270012;CALCO PARA BASE CHAVE FUSIVEL RELIGADOR 15KV;;;;;;;;;;;;
9191269000;CAIXA COLETIVA DE PAPELAO PARA HIDROMETROS INDUSTRIAIS - DN50 (FLANGE MOVEL E FIXO) + CONTRA FLANGE;;;;;;;;;;;;
9191268900;CAIXA COLETIVA DE PAPELAO PARA HIDROMETROS INDUSTRIAIS - DN100 (FLANGE FIXO);;;;;;;;;;;;
9191268700;CAIXA COLETIVA DE PAPELAO PARA HIDROMETROS INDUSTRIAIS - DN80 (FLANGE FIXO);;;;;;;;;;;;
9191268102;CAIXA COLETIVA DE PAPELAO PARA MEDIDOR DE ENERGIA ELETRICA (TAMANHO G) - RECICLADO;;;;;;;;;;;;
9191268101;CAIXA COLETIVA DE PAPELAO PARA MEDIDOR DE ENERGIA ELETRICA (TAMANHO M) - RECICLADO;;;;;;;;;;;;
9191268004;CAIXA COLETIVA DE PAPELAO (TAMANHO P) - (VERSAO 2);;;;;;;;;;;;
9191268001;CAIXA COLETIVA DE PAPELAO PARA MEDIDOR DE ENERGIA ELETRICA (TAMANHO M) - ELETRA;;;;;;;;;;;;
9191268000;CAIXA COLETIVA DE PAPELAO PARA MEDIDOR DE ENERGIA ELETRICA (TAMANHO P) - ELETRA;;;;;;;;;;;;
9191267803;CAIXA INDIVIDUAL DE PAPELAO PARA HIDROMETROS INDUSTRIAIS - DN80 (FLANGE FIXO);;;;;;;;;;;;
9191267802;CAIXA INDIVIDUAL DE PAPELAO PARA HIDROMETROS INDUSTRIAIS - DN80 (FLANGE MOVEL);;;;;;;;;;;;
9191267801;CAIXA INDIVIDUAL DE PAPELAO PARA HIDROMETROS INDUSTRIAIS - DN50 (FLANGE MOVEL E FIXO);;;;;;;;;;;;
9191267601;CAIXA INDIVIDUAL DE PAPELAO PARA HIDROMETROS RESIDENCIAIS (TAMANHO M);;;;;;;;;;;;
