CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ, SALDO EM ESTOQUE , EMPENHO PARA REQ/PV/RESERVA , ESTOQUE DISPONIVEL ,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM,CÓDIGO TOP MANAGER,Armazém Dashboard,Categoria,Família,Nomenclatura
2090700481,MP,MP07,"INTERRUPTOR, CHAVE FIM DE CURSO PARA UMA TENSAO NAO SUPERIOR A 1000V; 4.8MM±0.38MM;58.8*33*17.5MM",UN,10108,7,  12 , - ,  12 ,"R$ 78,45",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"INTERRUPTOR, CHAVE FIM DE CURSO PARA UMA TENSAO NAO SUPERIOR A 1000V; 4.8MM±0.38MM;58.8*33*17.5MM"
2120500010,MP,MP08,PAINEL INDICADOR COM DISPOSITIVOS DE CRISTAIS LIQUIDOS (LCD); DC12V;-20-+70?;1280*800;/;LVDS(18 BITS);308*228*45.8MM,UN,10108,7,  4 , - ,  4 ,"R$ 3.372,37",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,PAINEL INDICADOR COM DISPOSITIVOS DE CRISTAIS LIQUIDOS (LCD); DC12V;-20-+70?;1280*800;/;LVDS(18 BITS);308*228*45.8MM
2140103890,MP,MP08,ANTENA DE COMUNICACAO 4G: SMA WIFI: WIFI: 2.5DBI 4G: 4.5DBI;50O;F46*26MM;2000±30MM;F46*2000MM; ROHS,UN,10108,7,  4 , - ,  4 ,"R$ 31,93",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,DIVERSOS,ANTENA DE COMUNICACAO 4G: SMA WIFI: WIFI: 2.5DBI 4G: 4.5DBI;50O;F46*26MM;2000±30MM;F46*2000MM; ROHS
2140104000,RV,RV01,ANTENA PARA MODULO DE COMUNICACAO WIFI (2140104000),UN,10108,7,  83 , - ,  83 ,"R$ 234,66",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,ANTENA PARA MODULO DE COMUNICACAO WIFI (2140104000)
2140104220,RV,RV01,"ANTENA WIFI 2.4GHZ, >3DBI, 50OHMS, 32.5MM, 290±5MM, 32.5*9.5*0.2MM, ROHS, -45~+85 GRAUS CELSIUS",UN,10108,7,  1.503 , - ,  1.503 ,"R$ 2.332,21",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"ANTENA WIFI 2.4GHZ, >3DBI, 50OHMS, 32.5MM, 290±5MM, 32.5*9.5*0.2MM, ROHS, -45~+85 GRAUS CELSIUS"
3010315200,MP,MP08,RELE PARA UMA TENSAO DE ATE 12V DC; 10A;CZT08A-02+NG102;ROHS (3010315200),UN,10108,7,  16 , - ,  16 ,"R$ 179,24",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,RELE PARA UMA TENSAO DE ATE 12V DC; 10A;CZT08A-02+NG102;ROHS (3010315200)
3010913120,MP,MP09,DISJUNTOR DIN ;40A;3P;6KA;CDB6I;ROHS.(3010913120),UN,10108,7,  4 , - ,  4 ,"R$ 71,47",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,DISJUNTOR DIN ;40A;3P;6KA;CDB6I;ROHS.(3010913120)
3010913140,MP,MP09,"DISJUNTOR DIN; 16A;1P+N;6,10KA;CDB6HLES-63;ROHS (3010913140)",UN,10108,7,  4 , - ,  4 ,"R$ 77,39",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"DISJUNTOR DIN; 16A;1P+N;6,10KA;CDB6HLES-63;ROHS (3010913140)"
3011800300,MP,MP07,VENTILADOR TIPO COOLER FAN ;175*150*51;1.9A;24V;66.4DB;354.71;400.0MM;70000HRS AT 40?;ROHS(3011800300),UN,10108,7,  13 , - ,  13 ,"R$ 1.764,00",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,VENTILADOR TIPO COOLER FAN ;175*150*51;1.9A;24V;66.4DB;354.71;400.0MM;70000HRS AT 40?;ROHS(3011800300)
3011901840,MP,MP04,BOTAO DE EMERGENCIA; NP4-11ZS/1;RED;38*31*64MM;ROHS (3011901840),UN,10108,7,  4 , - ,  4 ,"R$ 114,24",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,BOTAO DE EMERGENCIA; NP4-11ZS/1;RED;38*31*64MM;ROHS (3011901840)
