CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ, SALDO EM ESTOQUE , EMPENHO PARA REQ/PV/RESERVA , ESTOQUE DISPONIVEL ,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM,CÓDIGO TOP MANAGER,Armazém Dashboard,Categoria,Família,Nomenclatura
9121500058,RV,RV01,ESTRUTURA METALICA PARA TELHADO CERAMICO,UN,10108,7,  993 , - ,  993 ,"R$ 256.774,61",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - TELHADO,ESTRUTURA METALICA PARA TELHADO CERAMICO
9191270847,RV,RV01,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 22,4V/133200MAH - 110V",UN,10108,7,  24 , - ,  24 ,"R$ 55.877,22",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 22,4V/133200MAH - 110V"
9191270848,RV,RV01,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 12,8V/130500MAH - 110V",UN,10108,7,  25 , - ,  25 ,"R$ 36.052,01",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 12,8V/130500MAH - 110V"
9191271060,RV,RV01,KIT TELHADO CERAMICO CCM-10 4 MODULOS STD.,UN,10108,7,  2.584 , - ,  2.584 ,"R$ 629.061,10",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - TELHADO,KIT TELHADO CERAMICO CCM-10 4 MODULOS STD.
9191271061,RV,RV01,KIT TELHADO FIBROCIMENTO FIX MADE 200 MM 4 MODULOS STD,UN,10108,7,  1.608 , - ,  1.608 ,"R$ 370.681,14",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - TELHADO,KIT TELHADO FIBROCIMENTO FIX MADE
9191271062,RV,RV01,KIT TELHADO FIBROMETAL FIX MTL 250 MM 4 MODULOS STD,UN,10108,7,  796 , - ,  796 ,"R$ 178.994,77",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - TELHADO,KIT TELHADO FIBROMETAL FIX MTL
9191271063,RV,RV01,KIT MINI TRILHO BAIXO P-1 PARA 4 MODULOS 300 MM,UN,10108,7,  2.282 , - ,  2.282 ,"R$ 160.454,49",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - TELHADO,KIT MINI TRILHO BAIXO P-1
9191271064,RV,RV01,TRIANGULO RETRATO TELESCOPIO 4 MODULOS 15° A 30° LAJE,UN,10108,7,  168 , - ,  168 ,"R$ 97.531,71",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,KIT SOLAR - TELHADO,TRIANGULO RETRATO TELESCOPIO 4 MODULOS 15° A 30° LAJE
9191271065,RV,RV01,KIT SOLO EASY LINE 4 MODULOS - 1134X2279,UN,10108,7,  2.191 , - ,  2.191 ,"R$ 880.373,16",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - SOLO,KIT SOLO EASY LINE 4 MODULOS - 1134X2279
9192220364,RV,RV01,PEDESTAL PARA ESTACAO DE RECARGA DC30KW; 200X80MM; ACO CARBONO 1020; COM FURACOES; PINTURA ELETROSTATICA; E PARABOLTS,UN,10108,7,  9 , - ,  9 ,"R$ 6.313,31",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR - PEDESTAL,PEDESTAL PARA DC30KW; 200X80MM
A0220400E11R11002,RV,RV01,CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | HARDWARE A21 | BO,UN,10108,7,  3 , - ,  3 ,"R$ 3.623,36",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 22kW,CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI | ETH | HARDWARE A21 | BO
A0220400E11R11004,RV,RV01,CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | BOTAO DE EMERGE,UN,10108,7,  4 , - ,  4 ,"R$ 4.279,24",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 22kW,CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | BOTAO DE EMERGE
A0220400E11R11005,RV,RV01,CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | RFID | BOTAO DE,UN,10108,7,  182 , - ,  182 ,"R$ 172.481,82",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 22kW,CARREGADOR VEICULAR | LIVOLTEK | CA 22KW | ATOM | 400V | 32A | CABO 5M | 1XTIPO 2 | BT | WI-FI (FC41D) | RFID | BOTAO DE
AC1-AIOR11001,RV,RV01,CAIXA DE ALUMINIO FUNDIDO PARA ALOCACAO DE BATERIAS DE LITIO PARA USO EM INVERSORES FOTOVOLTAICOS,UN,10108,7,  2 , - ,  2 ,"R$ 911,93",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),MATÉRIA-PRIMA,DIVERSOS,CAIXA DE ALUMINIO FUNDIDO PARA ALOCACAO DE BATERIAS DE LITIO PARA USO EM INVERSORES FOTOVOLTAICOS
BHF-X225R11001,RV,RV01,CONVERSOR ESTATICO COM SISTEMA DE ARMAZENAMENTO DE ENERGIA BESS 100KW 225KWH IP55 BHF-X2225,UN,10108,7,  3 , - ,  3 ,"R$ 596.646,95",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,BESS,CONVERSOR ESTATICO COM SISTEMA DE ARMAZENAMENTO DE ENERGIA BESS 100KW 225KWH IP55 BHF-X2225
BLF51-5R31001,RV,MP07,BATERIA RECARREGAVEL DE ION DE LITIO (BLF51-5R31001),UN,10108,7,  1 , - ,  1 ,"R$ 3.067,16",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,BATERIA,BLF51-5R31001
C04010E2EAFER11003,RV,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 40KW | MC | 133A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS,UN,10108,7,  18 , - ,  18 ,"R$ 407.853,65",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 40kW,CARREGADOR VEICULAR | LIVOLTEK | CC 40KW | MC | 133A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS
D0300380E1EYW11001,RV,RV01,"D0301000E21 - CARREGADOR VEICULAR CC, POTENCIA NOMINAL DE 30KW, DIMENSOES 450 * 145 * 680 MM",UN,10108,7,  12 , - ,  12 ,"R$ 202.949,58",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 30kW,"D0301000E21 - CARREGADOR VEICULAR CC, POTENCIA NOMINAL DE 30KW, DIMENSOES 450 * 145 * 680 MM"
GT1-10KT2R11004,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1 -10KT2R11004,UN,10108,7,  16 , - ,  16 ,"R$ 40.281,68",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT1,GT1 -10KT2R11004
GT1-6KD2R11008,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT1-6KD2R11008,UN,10108,7,  30 , - ,  30 ,"R$ 64.567,88",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT1,GT1-6KD2R11008
GT1-7K5T2R11002,RV,RV01,INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002),UN,10108,7,  65 , - ,  65 ,"R$ 175.789,61",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT1,GT1-7K5T2R11002 (GT1-7K5T2R11002)
GT1-8KT1R11001,RV,RV01,INVERSOR FOTOVOLTAICO MODELO GT1-8KT1,UN,10108,7,  7 , - ,  7 ,"R$ 11.878,95",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT1,GT1-8KT1
GT3-100K-1R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO GT3 -100K-1 380V AFCI,UN,10108,7,  26 , - ,  26 ,"R$ 340.954,03",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3 -100K-1 380V AFCI
GT3-110K-1R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO GT3 -110K-1 380V AFCI,UN,10108,7,  17 , - ,  17 ,"R$ 223.001,96",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3 -110K-1 380V AFCI
GT3-125K-1R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO GT3 -125K-1 380V AFCI,UN,10108,7,  77 , - ,  77 ,"R$ 1.016.738,61",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3 -125K-1 380V AFCI
GT3-15KD1R11008,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT3-15KD1R11008,UN,10108,7,  9 , - ,  9 ,"R$ 29.590,78",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-15KD1R11008
GT3-15KDL1R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO 15KW 220V 2 MPPT AFCI - GT3-15KDL1-2,UN,10108,7,  48 , - ,  48 ,"R$ 354.243,81",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-15KDL1-2
GT3-20KD1R11001,RV,RV01,INVERSOR FOTOVOLTAICO MODELO GT3 -20KD1,UN,10108,7,  5 , - ,  5 ,"R$ 11.672,19",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3 -20KD1
GT3-20KD1R11006,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS (GT3-20KD1R11006),UN,10108,7,  28 , - ,  28 ,"R$ 100.331,49",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-20KD1R11006
GT3-20KD1R11008,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT3-20KD1R11008,UN,10108,7,  69 , - ,  69 ,"R$ 246.686,19",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-20KD1R11008
GT3-20KTL1R11002,RV,RV01,INVERSOR TRIFASICO 220V ON-GRID GT3-20KTL1 AFCI,UN,10108,7,  1 , - ,  1 ,"R$ 5.999,64",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-20KTL1 AFCI
GT3-25KD1R11006,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS (GT3-25KD1R11006),UN,10108,7,  45 , - ,  45 ,"R$ 159.076,08",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-25KD1R11006
GT3-25KD1R11008,RV,RV01,INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT3 - 25KD1R11008,UN,10108,7,  44 , - ,  44 ,"R$ 158.436,54",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3 - 25KD1R11008
GT3-30KD1R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO 30KW 220V 3 MPPT AFCI - GT3-30KTL1-2,UN,10108,7,  2 ,  1 ,  1 ,"R$ 7.995,06","3.997,53",LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-30KTL1-2
GT3-30KQL1R11002,RV,RV01,INVERSOR TRIFASICO 220V ON-GRID GT3-30KQL1 AFCI,UN,10108,7,  2 , - ,  2 ,"R$ 13.903,44",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-30KQL1 AFCI
GT3-30KT1R11002,RV,RV01,INVERSOR TRIFASICO 380V ON-GRID GT3-30KT1 AFCI.,UN,10108,7,  153 , - ,  153 ,"R$ 1.098.736,77",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-30KT1 AFCI.
GT3-30KTL1R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO 30KW 380V 2 MPPT AFCI - GT3-30KD1-2,UN,10108,7,  88 , - ,  88 ,"R$ 651.587,18",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-30KD1-2
GT3-37K5Q1R11002,RV,RV01,INVERSOR TRIFASICO 380V ON-GRID GT3-37K5Q AFCI,UN,10108,7,  127 , - ,  127 ,"R$ 927.825,86",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-37K5Q AFCI
GT3-37K5T1R11002,RV,RV01,"INVERSOR ON-GRID TRIFASICO 37,5KW 380V 3 MPPT AFCI - GT3-37K5T1",UN,10108,7,  71 , - ,  71 ,"R$ 559.494,79",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-37K5T1
GT3-50KL11R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO 50KW 220V 4 MPPT AFCI - GT3-50KL11,UN,10108,7,  202 , - ,  202 ,"R$ 2.476.033,83",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-50KL11
GT3-50KQ1R11002,RV,RV01,INVERSOR TRIFASICO 380V ON-GRID GT3-50KQ1 AFCI,UN,10108,7,  269 , - ,  269 ,"R$ 1.765.283,04",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-50KQ1 AFCI
GT3-60KL11R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO 60KW 220V 6 MPPT AFCI - GT3-60KL11-2,UN,10108,7,  175 , - ,  175 ,"R$ 2.132.654,32",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-60KL11-2
GT3-60KQ1R11001,MP,MP07,INVERSOR TRIFASICO ON-GRID GT3-60KQ1 (GT3-60KQ1R11001),UN,10108,7,  1 , - ,  1 ,"R$ 13.110,51",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-60KQ1R11001
GT3-60KQ1R11002,RV,RV01,INVERSOR TRIFASICO 380V ON-GRID GT3-60KQ1 AFCI,UN,10108,7,  124 , - ,  124 ,"R$ 768.551,88",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-60KQ1 AFCI
GT3-75K-11R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO 75KW 380V 6 MPPT AFCI - GT3-75K-11-2,UN,10108,7,  61 , - ,  61 ,"R$ 765.091,58",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-75K-11-2
GT3-75KL11R11002,RV,RV01,INVERSOR ON-GRID TRIFASICO 75KW 220V 6 MPPT AFCI - GT3-75KL11-2,UN,10108,7,  195 , - ,  195 ,"R$ 2.350.411,54",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,INVERSOR - GT3,GT3-75KL11-2
HXCB20R02001,RV,RV01,AC STRING BOX HXDB20-2P 20A,UN,10108,7,  34 , - ,  34 ,"R$ 4.301,25",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,STRING BOX,AC STRING BOX HXDB20-2P 20A
LHE12DRR12001,RV,RV01,MEDIDOR INTELIGENTE (CONTADOR DE ELETRICIDADE) LHE12DR (LHE12DRR12001),UN,10108,7,  132 , - ,  132 ,"R$ 113.100,81",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MEDIDOR DE ENERGIA,LHE12DRR12001
LHE34DRR11001,RV,RV01,"MEDIDOR DE ENERGIA (CONTADOR DE ELETRICIDADE) TRIFASICO, DIGITAL, LHE34DRR11001.",UN,10108,7,  127 , - ,  127 ,"R$ 14.621,10",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MEDIDOR DE ENERGIA,LHE34DRR11001
LHE34DRR11002,RV,RV01,"MEDIDOR DE ENERGIA (CONTADOR DE ELETRICIDADE) TRIFASICO PARA CORRENTE ALTERNADA, SMART METER DIGITAL MODELO LHE34DR",UN,10108,7,  18 , - ,  18 ,"R$ 2.173,78",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MEDIDOR DE ENERGIA,LHE34DR
LHE34DRR12008,MP,MP08,CONTADOR DE ELETRICIDADE INDIRETO TRIF. PARA INSTALACAO EM TRILHO MEDICAO COM TC DE 10A (LHE34DRR12008),UN,10108,7,  1 , - ,  1 ,"R$ 157,33",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MEDIDOR DE ENERGIA,LHE34DRR12008)
LHECCHR11001,RV,RV01,"DISTRIBUIDOR DE CONEXOES PARA REDES (HUBS), BALANCEADOR DINAMICO LIVOLTEK DLB EV HUB (LHECCHR11001)",UN,10108,7,  6 , - ,  6 ,"R$ 14.884,46",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MEDIDOR DE ENERGIA,LHECCHR11001
M1201000E2EYR10001,MP,MP03,GABINETE DE CONVERSOR ESTATICO CA/CC TIPO UNIDADE DE ABASTECIMENTO VEICULAR MFDC 120KW,UN,10108,7,  1 , - ,  1 ,"R$ 16.099,61",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),MATÉRIA-PRIMA,CARREGADOR 120kW,GABINETE DE CONVERSOR ESTATICO CA/CC TIPO UNIDADE DE ABASTECIMENTO VEICULAR MFDC 120KW
M1201000E2EYR11001,RV,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 120KW | MF | 250A | 2XCCS2 | GESTAO DE CABOS | MCCB/RCD,UN,10108,7,  30 , - ,  30 ,"R$ 1.381.066,70",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 120kW,CARREGADOR VEICULAR | LIVOLTEK | CC 120KW | MF | 250A | 2XCCS2 | GESTAO DE CABOS | MCCB/RCD
MCPOLER101,RV,RV01,PEDESTAL LIVOLTEK CCS2 DE DOIS PLUGS PARA EQUIPAMENTOS MOTION COMPACT 2 PLUGS 370*722*330MM,UN,10108,7,  26 , - ,  26 ,"R$ 54.170,40",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR - PEDESTAL,PEDESTAL CCS2 DE DOIS PLUGS PARA EQUIPAMENTOS MOTION COMPACT 2 PLUGS 370*722*330MM
MCPOLER102,RV,RV01,PEDESTAL LIVOLTEK CCS2 DE UM PLUG PARA EQUIPAMENTOS MOTION COMPACT 1 PLUG 370*722*330MM,UN,10108,7,  9 , - ,  9 ,"R$ 13.887,93",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR - PEDESTAL,PEDESTAL CCS2 DE UM PLUG PARA EQUIPAMENTOS MOTION COMPACT 1 PLUG 370*722*330MM
PSD1000R11001,RV,RV01,MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS EM REDES SEM FIO (WLAN) PSD1000R11001,UN,10108,7,  368 , - ,  368 ,"R$ 44.847,39",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MÓDULO DE COMUNICAÇÃO,PSD1000R11001
PSD200R21001,RV,RV01,"MODULO WLAN - WIFI + BLUETOOTH, 2.4GHZ 802.11B/G/N. TENSAO DE FUNCIONAMENTO 5V - (PSD200-F1)",UN,10108,7,  14 , - ,  14 ,"R$ 814,09",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MÓDULO DE COMUNICAÇÃO,PSD200-F1
PSD300R21001,RV,RV01,MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS PSD300R21001.,UN,10108,7,  84 , - ,  84 ,"R$ 5.669,26",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS - MÓDULO DE COMUNICAÇÃO,PSD300R21001.
SMI-48150A1F1,RV,RV01,BATERIA DE LITIO SUNWODA 150AH SMI-48150A1F1,UN,10108,7,  2 , - ,  2 ,"R$ 11.546,79",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,BATERIA,SMI-48150A1F1
9121260611,MP,MP03,TERMINAL TUBULAR ILHOS PRE-ISOLADO 6MM,CT,10102,7,  1.180 , - ,  1.180 ,"R$ 257,00",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,TERMINAL TUBULAR ILHOS PRE-ISOLADO 6MM
9190132502,EM,CS03,FILME POLIESTER ESTICAVEL STRAWRAP 25 MICRAS 500MM (BOBINA COM 5KG),KG,10102,7,  360 , - ,  360 ,"R$ 3.420,47",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,FILME POLIESTER ESTICAVEL STRAWRAP 25 MICRAS 500MM (BOBINA COM 5KG)
3042303700,MP,MP03,TRILHO DIN 35MM PERFURADO,MT,10102,7,  570 , - ,  570 ,"R$ 2.916,46",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,TRILHO DIN 35MM PERFURADO
8010300790,MP,MP09,"CABO SOLAR 1,8 KV CC PRETO",MT,10102,7,  1.720 , - ,  1.720 ,"R$ 4.447,92",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,DIVERSOS - CABO,"CABO SOLAR 1,8 KV CC PRETO"
9110913000,EM,CS03,FITA DE POLIESTER,MT,10102,7,  24.000 , - ,  24.000 ,"R$ 4.651,20",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,FITA DE POLIESTER
9120821321,MP,MP03,ELETRODUTO SUBTERRANEO CORRUGADO FLEXIVEL 1 POLEGADA,MT,10102,7,  6 , - ,  6 ,"R$ 8,99",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,ELETRODUTO SUBTERRANEO CORRUGADO FLEXIVEL 1 POLEGADA
9121260800,MP,MP07,"CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM",MT,10102,7,  10.593 ,  97 ,  10.496 ,"R$ 59.478,64","544,65",LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,DIVERSOS - CABO,"CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM"
9121260801,MP,MP07,CABO FLEXIVEL 1KV SIL PT 3 X 4MM,MT,10102,7,  6.711 , - ,  6.711 ,"R$ 59.245,38",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,DIVERSOS - CABO,CABO FLEXIVEL 1KV SIL PT 3 X 4MM
9121290202,MP,MP07,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO",MT,10102,7,  85 , - ,  85 ,"R$ 288,80",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,KIT SOLAR - CABO,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO"
9121290203,MP,MP07,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO",MT,10102,7,  85 , - ,  85 ,"R$ 288,80",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,KIT SOLAR - CABO,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO"
9121290220,MP,MP07,"CABRNAX 90°C 1KV 4,0MM AZUL BB",MT,10102,7,  1.744 , - ,  1.744 ,"R$ 4.642,53",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,"CABRNAX 90°C 1KV 4,0MM AZUL BB"
9121290221,MP,MP07,"CABRNAX 90°C 1KV 4,0MM PRETO BB",MT,10102,7,  737 , - ,  737 ,"R$ 1.999,33",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,"CABRNAX 90°C 1KV 4,0MM PRETO BB"
9121290222,MP,MP07,CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO,MT,10102,7,  243 , - ,  243 ,"R$ 1.072,16",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,DIVERSOS - CABO,CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO
9121290223,MP,MP07,"CABRNAX 90°C 1KV 16,0MM VERMELHO BB",MT,10102,7,  308 , - ,  308 ,"R$ 3.104,62",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,"CABRNAX 90°C 1KV 16,0MM VERMELHO BB"
9121290224,MP,MP07,"CABRNAX 90°C 1KV 16,0MM PRETO BB",MT,10102,7,  348 , - ,  348 ,"R$ 3.475,74",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),,DIVERSOS,"CABRNAX 90°C 1KV 16,0MM PRETO BB"
9121500218,RV,RV01,CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO,MT,10102,7,  10.016 , - ,  10.016 ,"R$ 36.821,82",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,KIT SOLAR - CABO,CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO
9121500219,RV,RV01,CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO,MT,10102,7,  10.024 , - ,  10.024 ,"R$ 36.851,23",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,KIT SOLAR - CABO,CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO
9192220334,MC,MR01,CABO DE ALUMINIO 185MM² COBERTO XLPE 15 KV CLASSE 2,MT,10102,7,  80 , - ,  80 ,"R$ 1.331,39",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,DIVERSOS - CABO,CABO DE ALUMINIO 185MM² COBERTO XLPE 15 KV CLASSE 2
9192220335,MC,MR01,CABO DE ALUMINIO 70 MM² COBERTO XLPE 15 KV CLASSE 2,MT,10102,7,  46 , - ,  46 ,"R$ 329,02",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,DIVERSOS - CABO,CABO DE ALUMINIO 70 MM² COBERTO XLPE 15 KV CLASSE 2
9192220336,MC,MR01,"CABO DE COBRE FLEXIVEL 120MM² EPR OU XLPE CLASSE 5 0,6/1 KV",MT,10102,7,  15 , - ,  15 ,"R$ 1.443,30",-,LIVOLTEK - VENDAS,,Fortaleza (Eletra),PRODUTO,DIVERSOS - CABO,"CABO DE COBRE FLEXIVEL 120MM² EPR OU XLPE CLASSE 5 0,6/1 KV"
